reconstruction_error,threshold,is_anomaly
0.0015156610897557527,0.003554298248540073,0
0.0014372433095038114,0.003554298248540073,0
0.0007761276764911139,0.003554298248540073,0
0.003082293101370974,0.003554298248540073,0
0.0007750745477377755,0.003554298248540073,0
0.0010551201758466312,0.003554298248540073,0
0.0006343294111702916,0.003554298248540073,0
0.001601779626168253,0.003554298248540073,0
0.0019413702319739867,0.003554298248540073,0
0.0031474260577449235,0.003554298248540073,0
0.0023699363007462742,0.003554298248540073,0
0.0010913745132073614,0.003554298248540073,0
0.0010521286164503001,0.003554298248540073,0
0.002228697782454622,0.003554298248540073,0
0.0011591648206059296,0.003554298248540073,0
0.001562123483294977,0.003554298248540073,0
0.0017426802564854814,0.003554298248540073,0
0.0015211531816129462,0.003554298248540073,0
0.000917222194463043,0.003554298248540073,0
0.0013006780078191804,0.003554298248540073,0
0.001760356849028785,0.003554298248540073,0
0.0010717068667707005,0.003554298248540073,0
0.0018914410924834488,0.003554298248540073,0
0.001589277251347182,0.003554298248540073,0
0.0012753775375472691,0.003554298248540073,0
0.0014533260821091222,0.003554298248540073,0
0.0012071662229495089,0.003554298248540073,0
0.0029707016834573563,0.003554298248540073,0
0.0005004534377075472,0.003554298248540073,0
0.001411117862440438,0.003554298248540073,0
0.0006832926786591322,0.003554298248540073,0
0.0021498697242538557,0.003554298248540073,0
0.0018841423229263002,0.003554298248540073,0
0.0012387765118538688,0.003554298248540073,0
0.002207301909202357,0.003554298248540073,0
0.0016893885641862312,0.003554298248540073,0
0.0005409279979298643,0.003554298248540073,0
0.0014804020273704317,0.003554298248540073,0
0.0023328796714594427,0.003554298248540073,0
0.001896118836980755,0.003554298248540073,0
0.002785245226994606,0.003554298248540073,0
0.0007680536865921661,0.003554298248540073,0
0.0016894720172209625,0.003554298248540073,0
0.001665183366094201,0.003554298248540073,0
0.0009348161373246409,0.003554298248540073,0
0.0007056981115870705,0.003554298248540073,0
0.0012731274997861595,0.003554298248540073,0
0.0005940135074033841,0.003554298248540073,0
0.0017694228381124578,0.003554298248540073,0
0.0010694273625105955,0.003554298248540073,0
0.0018362985114497793,0.003554298248540073,0
0.0034118997899117,0.003554298248540073,0
0.0004383374664389389,0.003554298248540073,0
0.0021328598076403695,0.003554298248540073,0
0.0006378010334311114,0.003554298248540073,0
0.0032332685027239585,0.003554298248540073,0
0.0003903289349165916,0.003554298248540073,0
